USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         269  6.0  0.0  31504  6116 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         270 14.3  0.0  33588  8872 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         271  7.0  0.0  33248  7332 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         272  7.6  0.0  31548  6912 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         273  5.3  0.0  31804  6460 ?        R    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         274 10.3  0.0  33280  9136 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         275  9.6  0.0  31820  7384 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         276 11.3  0.0  33276  8648 ?        R    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         277  5.3  0.0  32092  8352 ?        S    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         278  1.6  0.0  31540  5700 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         279 11.3  0.0  33600  8712 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         280  9.0  0.0  33596  7460 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         282  1.0  0.0  31612  5744 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         283  4.6  0.0  31644  7520 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         284  2.6  0.0  31612  5744 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         285  2.6  0.0  31632  5508 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         286  3.6  0.0  31704  5984 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         287 46.0  0.1  49420 24592 ?        R    18:56   0:01 /usr/lib/systemd/systemd-udevd
root         288  2.0  0.0  31620  5732 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         289  5.0  0.0  31648  7392 ?        R    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         290  2.0  0.0  31620  5752 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         291  1.6  0.0  31100  6720 ?        S    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         292 12.3  0.0  31636  8068 ?        S    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         293  9.6  0.0  32244  7820 ?        R    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         294  1.6  0.0  31620  5752 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         295  0.3  0.0  31092  6572 ?        S    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         296  4.6  0.0  31640  7204 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         297  6.6  0.0  31644  6156 ?        D    18:56   0:00 /usr/lib/systemd/systemd-udevd
root         303  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/48-ACPI:Eve]
root         305  0.6  0.0      0     0 ?        I    18:56   0:00 [kworker/5:3-events]
root         306  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/49-ACPI:Eve]
root         307  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/50-ACPI:Eve]
root         309  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/51-ACPI:Eve]
root         310  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/52-ACPI:Eve]
root         312  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/53-ACPI:Eve]
root         313  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/54-ACPI:Eve]
root         314  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/55-ACPI:Eve]
root         315  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/56-ACPI:Eve]
root         316  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/57-ACPI:Eve]
root         325  0.0  0.0      0     0 ?        S    18:56   0:00 [irq/58-GXT7863:]
root         328  0.0  0.0      0     0 ?        I<   18:56   0:00 [tpm_dev_wq]
root         341  0.3  0.0      0     0 ?        I    18:56   0:00 [kworker/1:2-events]
root         350  3.0  0.0   5356  4168 ?        S    18:56   0:00 /bin/sh /usr/bin/laptop_mode force
root         427  1.0  0.0   5356  4212 ?        S    18:56   0:00 /bin/sh /usr/bin/laptop_mode force
root         936  8.0  0.0   5480  2864 ?        D    18:56   0:00 /bin/sh /usr/bin/laptop_mode force
root        1064  0.0  0.0      0     0 ?        S    18:56   0:00 [gfx]
root        1065  0.0  0.0      0     0 ?        S    18:56   0:00 [comp_1.0.0]
root        1066  0.0  0.0      0     0 ?        S    18:56   0:00 [comp_1.1.0]
root        1067  0.0  0.0      0     0 ?        S    18:56   0:00 [comp_1.2.0]
root        1068  0.0  0.0      0     0 ?        S    18:56   0:00 [comp_1.3.0]
root        1069  0.0  0.0      0     0 ?        S    18:56   0:00 [comp_1.0.1]
root        1070  0.0  0.0      0     0 ?        S    18:56   0:00 [comp_1.1.1]
root        1071  0.0  0.0      0     0 ?        S    18:56   0:00 [comp_1.2.1]
root        1072  0.0  0.0      0     0 ?        S    18:56   0:00 [comp_1.3.1]
root        1073  0.0  0.0      0     0 ?        S    18:56   0:00 [sdma0]
systemd+    1074  2.0  0.0  15320  6212 ?        Ss   18:56   0:00 /usr/lib/systemd/systemd-oomd
systemd+    1075  2.5  0.0  89556  7000 ?        Ssl  18:56   0:00 /usr/lib/systemd/systemd-timesyncd
root        1076  0.0  0.0      0     0 ?        S    18:56   0:00 [vcn_dec]
root        1077  0.0  0.0      0     0 ?        S    18:56   0:00 [vcn_enc0]
root        1078  0.0  0.0      0     0 ?        S    18:56   0:00 [vcn_enc1]
root        1079  0.0  0.0      0     0 ?        S    18:56   0:00 [jpeg_dec]
root        1080  0.0  0.0  19032  2304 ?        S<sl 18:56   0:00 /usr/bin/auditd
root        1092  0.0  0.0   2680  1044 ?        Ds   18:56   0:00 /usr/bin/acpid --foreground --netlink
root        1093  0.0  0.0  10380  3196 ?        Ss   18:56   0:00 bash /usr/lib/systemd/scripts/chkboot-bootcheck
dbus        1094  2.0  0.0  13092  6304 ?        Ss   18:56   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
